"","sites","wetland","temp","prec","wetland.2","wetland.3","wetland.4","wetland.5"
"1",1,0.527596130363517,11.5602017787133,6.22108862167705,0.510220949707822,0.436407209428931,0.295666066783282,0.248196028634461
"2",2,0.618489512018428,0.297411145525486,-6.85854501411906,0.592024993197242,0.501850444220467,0.357837139835241,0.304149994381224
"3",3,0.326953637793856,1.35044567249203,-0.231640130551249,0.329642706395127,0.291944614778775,0.158426601865634,0.124680510208578
"4",4,0.629704982661866,-4.23563988078248,9.20074662511702,0.602118916776336,0.509925583083742,0.365508521755353,0.311054238109324
"5",5,0.553701987763304,-2.17224181217277,-4.53775200452607,0.53371622136763,0.455203426756778,0.313522473244736,0.26426679444977
"6",6,0.42227179575675,-2.8654542735019,9.20074688934917,0.415429048561731,0.360573688512059,0.223624221912253,0.183358368250535
"7",7,0.673121184592945,-4.03343824854099,-2.39394873716142,0.641193498514307,0.541185248474119,0.395205203876211,0.337781252018097
"8",8,0.538602261171473,-3.12966319915775,-3.09296560369552,0.520126467434982,0.444331623610659,0.303194260255924,0.254971402759838
"9",9,0.475585694920222,-1.78807967909543,0.756879138162869,0.463411557808857,0.398959695909759,0.260090928940068,0.216178404575568
"10",10,0.825391940503152,2.20939002370358,-1.81559788258747,0.778237178833493,0.650820192729468,0.499358400918792,0.43151912935642
"11",11,0.432048469527374,-5.15163716463231,-3.10883383641557,0.424228054955294,0.367612893626909,0.230311466771361,0.189376888623732
"12",12,0.50233930301222,3.89421452657423,6.42240732260391,0.487489805091655,0.418222293735997,0.278390396874995,0.232647925717002
"13",13,0.17100363375359,-2.29513797230838,1.21333784173872,0.189287702758888,0.179660611869784,0.0517567991020921,0.0286776877213899
"14",14,0.674488018765529,-1.441314890258,-0.232781997033048,0.642423649269632,0.54216936907838,0.396140118450258,0.338622675134739
"15",15,0.738416214610722,-6.56567389144883,-5.88105559647394,0.699959025530306,0.588197670086919,0.43986700440837,0.37797687249704
"16",16,0.488419491655282,-6.37890829798874,1.08871282576909,0.47496197487041,0.408200029559002,0.268869245906849,0.224078889845671
"17",17,0.548823335773607,4.10193125462545,4.96022302088581,0.529325434576903,0.451690797324196,0.310185475283783,0.261263496284912
"18",18,0.876567548312391,6.02119314709632,0.728526813493203,0.824295225861809,0.68766663035212,0.534362516660312,0.463022833523788
"19",19,0.291651471730174,3.10672796415031,5.30964889476676,0.297870756937813,0.266527055212924,0.134279920278076,0.102948496779775
"20",20,0.347009087580501,4.44537685772262,-4.41825376424159,0.347692611203107,0.306384538625159,0.172144529519699,0.137026645097236
"21",21,0.548845558880633,-5.30714591031104,0.248316794346276,0.529345435373226,0.451706797961255,0.310200675888989,0.261277176829597
"22",22,0.665969511236686,5.25068581304634,8.58120873848268,0.634756992493674,0.536036043657613,0.39031345930053,0.333378681899984
"23",23,0.548576225370315,6.67386780706389,4.48671128290772,0.52910303521394,0.451512877833826,0.310016451767932,0.261111375120646
"24",24,0.568021297770607,-2.31740149175141,13.3463764269427,0.546603600374203,0.465513329962036,0.323316881289731,0.273081761690265
"25",25,0.707778604876497,-4.59132909671037,2.10828244099727,0.672385176769504,0.566138591078277,0.418910879350161,0.359116359944652
"26",26,0.603815616620554,6.59274195684351,-3.45377530190288,0.578818487339155,0.491285239533998,0.347800195383095,0.295116744374293
"27",27,0.712793874787638,7.15117570889574,-1.74949761026363,0.676898919689531,0.569749585414298,0.422341323969381,0.36220376010195
"28",28,0.554132443505281,-2.37832964934432,1.91998113276885,0.53410363153541,0.455513354891002,0.313816904972249,0.264531783004531
"29",29,0.520021737576914,-9.12251538115836,6.05090597694709,0.50340399619988,0.430953646622577,0.290485182117246,0.243533232435028
"30",30,0.502985226602151,-9.27751908370288,2.46376183195428,0.488071136322593,0.418687358720748,0.278832208610508,0.233045556278964
"31",31,0.643638908518401,2.23561612633959,2.84624192206034,0.614659450047218,0.519958009700448,0.375039327041223,0.319631962866607
"32",32,0.565682844092396,0.801220920808742,-6.37480982882235,0.544498992063813,0.463829643313724,0.321717378973836,0.271642209605959
"33",33,0.309340710065695,-2.36642721760488,-0.0917085888088738,0.313791071439782,0.279263306814499,0.146379359299572,0.113837991899122
"34",34,0.296162067771679,-0.925022664160906,0.577772269185446,0.301930293375168,0.269774684362808,0.137365167970465,0.105725219702925
"35",35,0.550153019765602,2.12618314166772,-2.72976642423393,0.530522150169698,0.452648169798432,0.311094979134308,0.262082049750384
"36",36,0.344224686714843,-2.65062455067171,-2.83667634701438,0.345186650424016,0.304379770001886,0.170239999327589,0.135312567924337
"37",37,0.852395460098437,3.96963272538647,3.10472943703569,0.80254034646925,0.670262726838074,0.517828808321967,0.448142496019278
"38",38,0.324874892333313,2.91152800966622,-4.44467323207218,0.327771835480639,0.290447918047184,0.157004739970623,0.123400834503067
"39",39,0.500108259909252,0.311740770416453,1.26367756536861,0.485481866298984,0.416615942701861,0.276864363392565,0.231274495582815
"40",40,0.47195165753573,3.28052754830298,6.91992106200266,0.460140924162814,0.396343188992925,0.257605247369076,0.213941291161675
"41",41,0.405910297136229,3.12952459940397,1.23125578069033,0.400703699803263,0.348793409505284,0.212432956855817,0.173286229699743
"42",42,0.528338457613835,1.00333460418278,11.0958405917572,0.510889044233108,0.43694168504916,0.2961738186225,0.248653005289757
"43",43,0.414765035462369,-3.68328581779335,-3.5520008455603,0.408672964296789,0.355168821100105,0.218489597870897,0.178737206613314
"44",44,0.364285516297905,-6.64426553704762,-1.67570120324917,0.363241397048771,0.318823567301691,0.183961606762403,0.14766201461567
"45",45,0.258809397814174,1.14330881354734,0.0553589603820265,0.268312890413413,0.242880761993404,0.111815941719531,0.0827309160770852
"46",46,0.487325085310096,0.19479854144392,6.550708392473,0.473977009159743,0.407412056990468,0.268120671966742,0.223405173299575
"47",47,0.67199218576073,4.86302919161152,-1.53669806845511,0.640177399565313,0.540372369314924,0.394432968674976,0.337086240336985
"48",48,0.423992895752686,1.01765375708379,4.15739196594061,0.416978038558074,0.361812880509133,0.224801454309474,0.184417877408033
"49",49,0.453304063801758,0.550775561533526,-3.4165132493057,0.443358089802239,0.382916921504465,0.244850293255039,0.202461832459042
"50",50,0.409237633517938,1.94067611218047,-8.65179540438313,0.403698302546801,0.351189091700114,0.214708854940906,0.175334537976323
"51",51,0.651431838811144,-3.00044890624129,3.64975459589609,0.621673087310686,0.525568919511222,0.380369691361459,0.32442929075482
"52",52,0.35996780791025,7.48849238325383,1.05665000008851,0.359355459499882,0.315714817262579,0.181008294225248,0.14500403333223
"53",53,0.44100150301336,-6.79592849433361,-3.95643181114457,0.432285785092681,0.374059077736818,0.236435341675775,0.194888376037704
"54",54,0.427997634566698,4.81755783958532,-5.4398956603711,0.420582303490685,0.364696292455221,0.227540695658258,0.186883194621939
"55",55,0.620065643272949,1.74001701579067,1.07418371958974,0.59344351132631,0.502985258723722,0.358915213613333,0.305120260781507
"56",56,0.612285042281378,-0.353610022552594,6.59617359739689,0.586440970433897,0.497383226009791,0.353593282535099,0.300330522811096
"57",57,0.605791178508171,-1.88727972333638,-1.32317835619061,0.58059649303801,0.492707644093082,0.349151479714225,0.29633290027231
"58",58,0.467717972179288,12.1052531387702,-5.19412150828188,0.456330607342016,0.393294935536286,0.254709406585269,0.211335034456249
"59",59,0.686020476683234,-4.78253649796969,1.9234012007879,0.652802861395567,0.550472738779127,0.404028319665968,0.345722056228878
"60",60,0.695453615332466,0.783824086670565,-1.41571016872369,0.661292686179876,0.557264598606575,0.410480586502043,0.351529096381346
"61",61,0.306359776866957,-2.10367955825048,2.53110269461447,0.311108231560918,0.277117034911408,0.144340400991635,0.112002929421978
"62",62,0.520589003396507,-1.18913801806445,-7.2388034000668,0.503914535437513,0.431362078012684,0.290873191937847,0.243882441273569
"63",63,0.432272352062428,-2.01108256641214,-2.17169098689839,0.424429549236842,0.367774089052147,0.230464602425337,0.189514710712311
"64",64,0.354498055099813,4.65719154331546,3.08029367329008,0.354432681970488,0.311776595239064,0.177266983302908,0.141636853502125
"65",65,0.184031424312863,-4.85363488358265,1.26213928547217,0.201012714262233,0.18904062107246,0.0606678078446344,0.036697595589678
"66",66,0.407186462551995,-1.51977600379841,-1.28148897228103,0.401852248677453,0.349712248604636,0.213305854000201,0.174071837129688
"67",67,0.493486339571492,1.37562940565963,1.78078200703897,0.479522137994999,0.411848160058673,0.272334969881537,0.22719804142289
"68",68,0.668993522481527,1.32467035703739,1.91274936784577,0.637478602614031,0.538213331753899,0.392381882992001,0.335240263222308
"69",69,0.584132843349656,-8.15391785988457,1.06509462531838,0.561103991395347,0.477113642778951,0.334337178465801,0.283000029148728
"70",70,0.416260293391064,0.570728942849528,6.48406528123859,0.410018696432614,0.356245406808765,0.219512354294124,0.179657687394218
